model,fold,bin,mean_predicted,observed_rate,n
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.7,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8333333333333334,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,1.0,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.7,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.7,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8333333333333334,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.7,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.7,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8333333333333334,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.7,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,1.0,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.9,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,1.0,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.4,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.7,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8333333333333334,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.4,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8333333333333334,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8333333333333334,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.8333333333333334,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.5,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.4,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,1.0,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.6,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.9,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.8,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9666666666666667,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,1.0,10
uniform_27_iid,validation_2023_2024,9,0.931690381599132,0.9333333333333333,30
uniform_27_iid,validation_2023_2024,6,0.6513215598999998,0.7,10
uniform_27_iid,validation_2023_2024,8,0.8784233454094308,0.8,10
